phase,cohort,ordinal,task_id,repository,arm,outcome,resolved,last_stage,requests,solver_seconds,grader_seconds,memory_injections,graded_at_kst
DEVELOPMENT,baseline,18,swebench--matplotlib__matplotlib-23031,matplotlib/matplotlib,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,19,swebench--mwaskom__seaborn-3010,mwaskom/seaborn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,20,swebench--mwaskom__seaborn-2846,mwaskom/seaborn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,21,swebench--mwaskom__seaborn-2853,mwaskom/seaborn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,22,swebench--mwaskom__seaborn-3407,mwaskom/seaborn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,23,swebench--pallets__flask-4642,pallets/flask,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,24,swebench--pallets__flask-4992,pallets/flask,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,25,swebench--pallets__flask-5063,pallets/flask,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,26,swebench--pallets__flask-4169,pallets/flask,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,27,swebench--psf__requests-3362,psf/requests,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,28,swebench--psf__requests-2678,psf/requests,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,29,swebench--psf__requests-1733,psf/requests,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,30,swebench--psf__requests-4106,psf/requests,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,31,swebench--pydata__xarray-4827,pydata/xarray,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,32,swebench--pydata__xarray-5187,pydata/xarray,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,33,swebench--pydata__xarray-5455,pydata/xarray,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,34,swebench--pydata__xarray-4442,pydata/xarray,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,35,swebench--pydata__xarray-5682,pydata/xarray,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,36,swebench--pylint-dev__pylint-5951,pylint-dev/pylint,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,37,swebench--pylint-dev__pylint-7228,pylint-dev/pylint,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,38,swebench--pylint-dev__pylint-8312,pylint-dev/pylint,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,39,swebench--pylint-dev__pylint-5175,pylint-dev/pylint,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,40,swebench--pytest-dev__pytest-7500,pytest-dev/pytest,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,41,swebench--pytest-dev__pytest-9624,pytest-dev/pytest,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,42,swebench--pytest-dev__pytest-7352,pytest-dev/pytest,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,43,swebench--pytest-dev__pytest-7939,pytest-dev/pytest,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,44,swebench--pytest-dev__pytest-8124,pytest-dev/pytest,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,45,swebench--scikit-learn__scikit-learn-13618,scikit-learn/scikit-learn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,46,swebench--scikit-learn__scikit-learn-13960,scikit-learn/scikit-learn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,47,swebench--scikit-learn__scikit-learn-26242,scikit-learn/scikit-learn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,48,swebench--scikit-learn__scikit-learn-26318,scikit-learn/scikit-learn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,49,swebench--scikit-learn__scikit-learn-14024,scikit-learn/scikit-learn,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,50,swebench--sphinx-doc__sphinx-8713,sphinx-doc/sphinx,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,51,swebench--sphinx-doc__sphinx-11502,sphinx-doc/sphinx,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,52,swebench--sphinx-doc__sphinx-7597,sphinx-doc/sphinx,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,53,swebench--sphinx-doc__sphinx-10320,sphinx-doc/sphinx,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,54,swebench--sphinx-doc__sphinx-9467,sphinx-doc/sphinx,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,55,swebench--sympy__sympy-14104,sympy/sympy,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,56,swebench--sympy__sympy-18650,sympy/sympy,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,57,swebench--sympy__sympy-20691,sympy/sympy,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,58,swebench--sympy__sympy-21849,sympy/sympy,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,59,swebench--sympy__sympy-14180,sympy/sympy,BASELINE,NOT_STARTED,,,,,,,
DEVELOPMENT,baseline,60,swebench--sympy__sympy-11796,sympy/sympy,BASELINE,NOT_STARTED,,,,,,,
