role,repository,instance_id,base_commit,public_issue_created_at,in_training_24,in_training_120
TRAINING,django/django,django__django-12851,ccb1cfb64e919e163c51995ed99bff3c92d7d006,2020-05-03T14:57:24Z,False,True
TRAINING,django/django,django__django-16111,f71b0cf769d9ac582ee3d1a8c33d73dad3a770da,2022-09-25T12:33:08Z,False,True
TRAINING,django/django,django__django-13684,464a4c0c59277056b5d3c1132ac1b4c6085aee08,2020-11-15T20:37:44Z,False,True
TRAINING,django/django,django__django-14169,f5a22442176878d07e80ae5ba0af1dd8d6910fbd,2021-03-23T05:01:47Z,False,True
TRAINING,django/django,django__django-15248,f1905db6c0004a2b6c8b69c55a1f5f9da58ce2eb,2021-12-28T02:36:47Z,False,True
TRAINING,django/django,django__django-14645,fd999318ad78613227cdb7c5656345d9e216802b,2021-07-15T18:35:39Z,False,True
TRAINING,django/django,django__django-11085,f976ab1b117574db78d884c94e549a6b8e4c9f9b,2019-03-14T17:47:04Z,False,True
TRAINING,django/django,django__django-12855,f2051eb8a7febdaaa43bd33bf5a6108c5f428e59,2020-05-04T19:25:37Z,False,True
TRAINING,django/django,django__django-16686,f5c5c571d3b87a78d005ea6f21959388d1747696,2023-03-25T18:39:07Z,False,True
TRAINING,django/django,django__django-16810,191f6a9a4586b5e5f79f4f42f190e7ad4bbacc84,2023-04-28T06:55:00Z,False,True
TRAINING,django/django,django__django-14334,96f55ccf798c7592a1203f798a4dffaf173a9263,2021-04-29T22:48:39Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-26223,9ced0c0347d270886f162746e071b2b8b60d7a67,2023-06-30T13:53:44Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-13959,bbd10ba989748c1ff94fb3f3a24b366dfe6b5ad3,2019-04-14T23:44:41Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-25667,7d7f6da20ef11afb8eed37bce32286ad4ec43431,2023-04-12T04:03:44Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-25651,bff46815c9b6b2300add1ed25f18b3d788b816de,2023-04-09T12:42:22Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-24224,aaa5129a9fb472a239bb7421635c31f20a523c5f,2022-10-20T08:47:45Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-23047,3699ff34d6e2d6d649ee0ced5dc3c74936449d67,2022-05-14T13:18:08Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-21238,8a8dd9093d381500555bccf46fc5d46b42d132ec,2021-09-30T22:10:17Z,False,True
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-25772,558f111d6f112fde91431be9f222e9359d4291ae,2023-04-26T16:12:12Z,False,True
TRAINING,mwaskom/seaborn,mwaskom__seaborn-3217,623b0b723c671e99f04e8ababf19adc563f30168,2023-01-10T12:37:28Z,False,True
TRAINING,mwaskom/seaborn,mwaskom__seaborn-3276,3733590d86a7f2c2a95cd9940a34aa7df5f5a3d2,2023-02-23T14:34:53Z,False,True
TRAINING,mwaskom/seaborn,mwaskom__seaborn-2576,430c1bf1fcc690f0431e6fc87b481b7b43776594,2021-05-06T18:35:25Z,False,True
TRAINING,mwaskom/seaborn,mwaskom__seaborn-2766,e8a83c8f12c50eb99bcf32ff83b36bc413ec2e02,2022-03-20T19:58:40Z,False,True
TRAINING,mwaskom/seaborn,mwaskom__seaborn-3190,4a9e54962a29c12a8b103d75f838e0e795a6974d,2022-12-18T17:13:51Z,False,True
TRAINING,pallets/flask,pallets__flask-4160,06cf349bb8b69d9946c3a6a64d32eb552cc7c28b,2021-06-19T12:01:43Z,False,True
TRAINING,pallets/flask,pallets__flask-4935,fa1ee7066807c21256e90089731c548b313394d2,2023-01-04T16:50:46Z,False,True
TRAINING,pallets/flask,pallets__flask-4544,dba2be9311d2abfd1b973c6bb578f416ee771fda,2022-04-18T13:39:46Z,False,True
TRAINING,pallets/flask,pallets__flask-4575,bd56d19b167822a9a23e2e9e2a07ccccc36baa8d,2022-05-02T16:46:41Z,False,True
TRAINING,psf/requests,psf__requests-2413,d2d576b6b1101e2871c82f63adf2c2b534c2dabc,2015-01-19T03:54:01Z,False,True
TRAINING,psf/requests,psf__requests-1689,e91ee0e2461cc9b6822e7c3cc422038604ace08d,2013-10-18T17:35:07Z,False,True
TRAINING,psf/requests,psf__requests-1376,2aabb71dc8db434122c2e00c9d1313c6f368ce1c,2013-05-21T17:51:54Z,False,True
TRAINING,psf/requests,psf__requests-5087,a4c18cd733f97b5659a29589432d8a39e7a0de87,2019-05-14T09:18:13Z,False,True
TRAINING,psf/requests,psf__requests-1635,9968a10fcfad7268b552808c4f8946eecafc956a,2013-09-28T14:50:12Z,False,True
TRAINING,psf/requests,psf__requests-2617,636b946af5eac8ba4cffa63a727523cd8c2c01ab,2015-05-28T17:09:51Z,False,True
TRAINING,pydata/xarray,pydata__xarray-7052,ddccd5c538220ab7b8fdab390c64e29be97ee00b,2022-09-18T17:40:36Z,False,True
TRAINING,pydata/xarray,pydata__xarray-7203,9951491e0b849834c369de522de2df8172a2e298,2022-10-24T05:12:40Z,False,True
TRAINING,pydata/xarray,pydata__xarray-7120,58ab594aa4315e75281569902e29c8c69834151f,2022-10-03T23:53:43Z,False,True
TRAINING,pydata/xarray,pydata__xarray-4819,a2b1712afd957deaf189c9b1a04e469596d853c9,2021-01-17T12:08:18Z,False,True
TRAINING,pydata/xarray,pydata__xarray-3635,f2b2f9f62ea0f1020262a7ff563bfe74258ffaa1,2019-12-17T13:16:40Z,False,True
TRAINING,pydata/xarray,pydata__xarray-3156,118f4d996e7711c9aced916e6049af9f28d5ec66,2019-07-21T11:27:25Z,False,True
TRAINING,pydata/xarray,pydata__xarray-4767,7298df0c05168896a9813249b54a2d11f35cfa8f,2021-01-05T17:49:05Z,False,True
TRAINING,pylint-dev/pylint,pylint-dev__pylint-4492,5ebbc30afbaa1a3c1e04fc86c3525edf9f579640,2021-05-23T15:13:26Z,False,True
TRAINING,pylint-dev/pylint,pylint-dev__pylint-5201,772b3dcc0b0770a843653783e5c93b4256e5ec6f,2021-10-23T10:09:51Z,False,True
TRAINING,pylint-dev/pylint,pylint-dev__pylint-8281,e0018ea04bce285f5fed31c00d6d16367a8800c1,2023-02-13T15:37:32Z,False,True
TRAINING,pylint-dev/pylint,pylint-dev__pylint-5743,dc4c709e9bca44952decdb74d76cf4e62799890a,2022-01-29T16:04:04Z,False,True
TRAINING,pylint-dev/pylint,pylint-dev__pylint-8124,eb950615d77a6b979af6e0d9954fdb4197f4a722,2023-01-27T23:46:57Z,False,True
TRAINING,pylint-dev/pylint,pylint-dev__pylint-6412,4b73e81df60db3a5e3706124185a3d37a363f7e7,2022-04-20T12:16:20Z,False,True
TRAINING,pytest-dev/pytest,pytest-dev__pytest-8447,6447ca5f1e1f1e02fe1ac43621f642303f7bfe62,2021-03-14T22:03:00Z,False,True
TRAINING,pytest-dev/pytest,pytest-dev__pytest-8950,398783521383e7f0d9897da679e8c12061024f30,2021-07-27T23:02:06Z,False,True
TRAINING,pytest-dev/pytest,pytest-dev__pytest-6116,e670ff76cbad80108bde9bab616b66771b8653cf,2019-11-01T20:05:53Z,False,True
TRAINING,pytest-dev/pytest,pytest-dev__pytest-9911,2ba8fd5bc50f293fea11a863c2b8c4dc3488762b,2022-05-02T17:17:01Z,False,True
TRAINING,pytest-dev/pytest,pytest-dev__pytest-5692,29e336bd9bf87eaef8e2683196ee1975f1ad4088,2019-08-03T14:15:04Z,False,True
TRAINING,pytest-dev/pytest,pytest-dev__pytest-7481,d466cc25a78b442cd4ccaafae4adef9a7f1e4012,2020-07-11T16:00:30Z,False,True
TRAINING,pytest-dev/pytest,pytest-dev__pytest-11041,fbfd4b50050080413c8faca5368b9cb9b1ac9313,2023-05-27T09:33:16Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13549,66cc1c7342f7f0cc0dc57fb6d56053fc46c8e5f0,2019-03-31T16:22:16Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-12258,a7a834bdb7a51ec260ff005715d50ab6ed01a16b,2018-10-03T12:36:54Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25370,f45a9071e1ff2bdc044c040959b5387c3d9559c8,2023-01-12T14:13:46Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14309,f7e082d24ef9f3f9dea14ad82a9a8b2351715f54,2019-07-12T13:54:08Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25570,cd25abee0ad0ac95225d4a9be8948eff69f49690,2023-02-08T18:28:21Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-9274,faa940608befaeca99db501609c6db796739f30f,2017-07-03T22:39:22Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-15138,7c47337f7b15a5368c922ed1781a267bf66c7367,2019-10-05T13:41:54Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13165,1c8668b0a021832386470ddf740d834e02c66f69,2019-02-14T14:53:40Z,False,True
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-12733,cd8fe168fbc2c5cfe1cb11a1cfbd7a1b7aec0acc,2018-12-06T20:40:48Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-8579,955d6558ec155dffaef999d890c2cdb224cbfbb9,2020-12-22T20:03:13Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-9829,6c6cc8a6f50b18331cb818160d168d7bb9c03e55,2021-11-08T16:56:39Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-10097,ce6803a18679f7085561b66ec1945ed4005e2d1d,2022-01-13T17:27:25Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-9309,01970059760dd59d22cd6efaa17dbf0e0efbc60f,2021-06-07T21:55:57Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-10360,d951e55bc3419dbda809ed0aca17addeed8e9e30,2022-04-17T15:30:43Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-7854,66e55a02d125e7b65b211a7cf9b48506195e3bf4,2020-06-20T08:02:58Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-9171,1513d5077439b6f1e69108233d1a08059f420970,2021-05-05T10:25:44Z,False,True
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-8506,e4bd3bd3ddd42c6642ff779a4f7381f219655c2c,2020-11-28T17:28:05Z,False,True
TRAINING,sympy/sympy,sympy__sympy-16527,d474418cf4475139d66da7d474012f366d74b628,2019-04-01T11:08:50Z,False,True
TRAINING,sympy/sympy,sympy__sympy-21259,3ac1464b8840d5f8b618a654f9fbf09c452fe969,2021-04-07T11:46:02Z,False,True
TRAINING,sympy/sympy,sympy__sympy-16437,f499cbbc188d777be2998b01e48a3d8b64f1ea10,2019-03-25T17:16:45Z,False,True
TRAINING,sympy/sympy,sympy__sympy-18087,9da013ad0ddc3cd96fe505f2e47c63e372040916,2019-12-20T12:38:00Z,False,True
TRAINING,sympy/sympy,sympy__sympy-13198,b3e01a97bd5dfb67fb7b6d2f051b7187b8c41abf,2017-08-26T06:08:13Z,False,True
TRAINING,sympy/sympy,sympy__sympy-13437,674afc619d7f5c519b6a5393a8b0532a131e57e0,2017-10-12T18:21:19Z,False,True
TRAINING,sympy/sympy,sympy__sympy-18765,8501526ca26a80ac1b7866a4c1678fcf0045e971,2020-03-03T08:49:21Z,False,True
TRAINING,sympy/sympy,sympy__sympy-23021,706ab9045effd9886fcf3efd670644a592931b86,2022-02-05T14:37:33Z,False,True
TRAINING,sympy/sympy,sympy__sympy-16085,b68caad822d3ad0ae1fa09c78c9ed2db927e73cb,2019-02-26T20:07:25Z,False,True
TRAINING,sympy/sympy,sympy__sympy-13018,e95969f314e084e8125d913099c1091a2643e530,2017-07-20T22:09:54Z,False,True
TRAINING,sympy/sympy,sympy__sympy-12454,d3fcdb72bfcbb560eb45264ac1c03f359436edef,2017-03-29T20:40:49Z,False,True
TRAINING,sympy/sympy,sympy__sympy-11831,9ce74956ad542e069a9a7743bf0a751c5a26e727,2016-11-09T17:16:28Z,False,True
TRAINING,astropy/astropy,astropy__astropy-13838,a6c712375ed38d422812e013566a34f928677acd,2022-10-15T11:03:12Z,False,False
TRAINING,astropy/astropy,astropy__astropy-14253,dd2304672cdf4ea1b6f124f9f22ec5069a13c9f5,2023-01-04T19:59:52Z,False,False
TRAINING,astropy/astropy,astropy__astropy-13404,16743c6faf5cb8433bf9f7702ae70d002a96caaf,2022-06-27T21:58:57Z,False,False
TRAINING,astropy/astropy,astropy__astropy-7746,d5bd3f68bb6d5ce3a61bdce9883ee750d1afade5,2018-08-20T14:07:20Z,False,False
TRAINING,astropy/astropy,astropy__astropy-12318,43ce7895bb5b61d4fab2f9cc7d07016cf105f18e,2021-10-28T15:32:17Z,False,False
TRAINING,astropy/astropy,astropy__astropy-14590,5f74eacbcc7fff707a44d8eb58adaa514cb7dcb5,2023-03-27T23:57:35Z,False,False
TRAINING,django/django,django__django-10287,4dcbe6eb2de38a856dae39928692e46fbcf5c475,2018-08-11T19:42:57Z,False,False
TRAINING,django/django,django__django-11903,dee687e93a2d45e9fac404be2098cc4707d31c1f,2019-10-11T14:46:51Z,False,False
TRAINING,django/django,django__django-11618,d14fa04ab398e77e6f19b0453af4183b5e4cd14e,2019-08-01T14:51:49Z,False,False
TRAINING,django/django,django__django-8961,a8bb49355698a5f7c7d25e06cad2571faa7af9a7,2017-08-23T12:58:43Z,False,False
TRAINING,django/django,django__django-13671,8f384505eee8ce95667d77cfc2a07d4abe63557c,2020-11-12T12:42:55Z,False,False
TRAINING,django/django,django__django-13170,5a3d7cf46205f42303a5f429c388cb507ef5d630,2020-07-09T09:33:50Z,False,False
TRAINING,django/django,django__django-14031,ceb4b9ee68dffc6ab0398886f1758f15f037c472,2021-02-22T11:58:03Z,False,False
TRAINING,django/django,django__django-16143,da02cbd1effc951b14c981925d0e26a39566649e,2022-10-02T16:59:45Z,False,False
TRAINING,django/django,django__django-13251,b6dfdaff33f19757b1cb9b3bf1d17f28b94859d4,2020-07-28T11:59:53Z,False,False
TRAINING,django/django,django__django-12830,926148ef019abcac3a9988c78734d9336d69f24e,2020-04-30T19:55:06Z,False,False
TRAINING,django/django,django__django-13884,fdfbc66331292def201c9344e3cd29fbcbcd076a,2021-01-12T21:25:58Z,False,False
TRAINING,django/django,django__django-15526,b07ee98b27e58992fdc10fec0ec67e68ae1d272d,2022-03-18T12:42:54Z,False,False
TRAINING,django/django,django__django-13585,509d9da26fb92a8d566ec105ff40bb024803ceaa,2020-10-22T07:30:21Z,False,False
TRAINING,django/django,django__django-13347,b9be11d44265308863e4e8cfb458cd3605091452,2020-08-25T13:01:21Z,False,False
TRAINING,django/django,django__django-15204,b0d16d0129b7cc5978a8d55d2331a34cb369e6c7,2021-12-15T17:08:34Z,False,False
TRAINING,django/django,django__django-12407,86908785076b2bbc31b908781da6b6ad1779b18b,2020-02-02T16:53:25Z,False,False
TRAINING,django/django,django__django-15491,3dbf46654c4017bf1336b32e76f0efa32fad07ca,2022-03-08T16:04:35Z,False,False
TRAINING,django/django,django__django-15799,90d2f9f41671ef01c8e8e7b5648f95c9bf512aae,2022-06-27T02:15:54Z,False,False
TRAINING,django/django,django__django-12497,a4881f5e5d7ee38b7e83301331a0b4962845ef8a,2020-02-26T18:12:31Z,False,False
TRAINING,django/django,django__django-11742,fee75d2aed4e58ada6567c464cfd22e89dc65f4a,2019-09-04T08:30:14Z,False,False
TRAINING,django/django,django__django-12009,82a88d2f48e13ef5d472741d5ed1c183230cfe4c,2019-11-02T04:49:18Z,False,False
TRAINING,django/django,django__django-14722,c1e4111c74ee9d9f48cbee5a5b7c40289203c93d,2021-07-31T17:43:56Z,False,False
TRAINING,django/django,django__django-15969,081871bc20cc8b28481109b8dcadc321e177e6be,2022-08-18T01:11:18Z,False,False
TRAINING,django/django,django__django-13490,c32d8f33d8e988a376e44997b8f3606d821f305e,2020-10-04T21:16:50Z,False,False
TRAINING,django/django,django__django-12281,e2d9d66a22f9004c0349f6aa9f8762fa558bdee8,2020-01-06T11:14:37Z,False,False
TRAINING,django/django,django__django-14059,712fe12466cfe4b7e31c61418c85ce36a211261a,2021-02-28T00:17:54Z,False,False
TRAINING,django/django,django__django-11680,e9f74f53ccbf897ed69a484f35d616e1914d2c90,2019-08-17T13:32:36Z,False,False
TRAINING,django/django,django__django-14751,274771df9133542df048cc104c19e7756f9d3715,2021-08-07T14:53:57Z,False,False
TRAINING,django/django,django__django-16379,1d0fa848e084cad62d0bb6bde3b51e4862558e57,2022-12-13T09:24:45Z,False,False
TRAINING,django/django,django__django-16858,7414704e88d73dafbcfbb85f9bc54cb6111439d3,2023-05-15T13:33:27Z,False,False
TRAINING,django/django,django__django-13355,e26a7a8ef41f0d69951affb21655cdc2cf94a209,2020-08-27T18:08:56Z,False,False
TRAINING,django/django,django__django-9003,511dfb336fc271e538f714b7a9bdb0b375924b53,2017-09-01T17:24:44Z,False,False
TRAINING,django/django,django__django-16649,39d1e45227e060746ed461fddde80fa2b6cf0dcd,2023-03-13T14:06:31Z,False,False
TRAINING,django/django,django__django-12532,7d8cdad6b704051bb69a47721913701349463ead,2020-03-05T22:30:13Z,False,False
TRAINING,django/django,django__django-13886,76ae6ccf859bf677bfcb5b992f4c17f5af80ae9d,2021-01-13T19:46:04Z,False,False
TRAINING,django/django,django__django-13841,cfe47b7686df0c4c87270a83d6d7f933323ed7e6,2021-01-04T20:40:02Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-23332,6e5a5415ddc513606eac5c116fde492370a3f7f6,2022-06-23T16:30:18Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-24619,0aac9f17b9373f66c709f436149568bda69595b3,2022-12-04T17:55:35Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-22835,c33557d120eefe3148ebfcf2e758ff2357966000,2022-04-12T23:13:58Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-25334,07c43e4a87130880b5a01eca16de492bb800c26e,2023-02-26T22:03:38Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-23266,dab648ac5eff66a39742f718a356ebe250e01880,2022-06-14T04:56:38Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-24250,f6e75121e11b6ba918c5f6e5c2cc1b9f4fccc8b0,2022-10-22T09:52:56Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-25785,950d0db55ac04e663d523144882af0ec2d172420,2023-04-28T02:15:05Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-22883,e0773948af38c8c5123fda0d90cf40140d8b020c,2022-04-23T23:27:05Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-25027,f0f133943d3e4f1e2e665291fe1c8f658a84cc09,2023-01-19T02:43:47Z,False,False
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-24691,78bf53caacbb5ce0dc7aa73f07a74c99f1ed919b,2022-12-10T18:13:37Z,False,False
TRAINING,mwaskom/seaborn,mwaskom__seaborn-3394,9276e22a424fe2c834eff85231d0c916e293d613,2023-06-19T20:59:52Z,False,False
TRAINING,mwaskom/seaborn,mwaskom__seaborn-2813,60e58eb07e4448694ca25e887684d39d5138babd,2022-05-18T00:32:38Z,False,False
TRAINING,mwaskom/seaborn,mwaskom__seaborn-3216,557b0d29cdeae9703576f4bb0eb73dd997a1e4a4,2023-01-08T23:34:46Z,False,False
TRAINING,psf/requests,psf__requests-3738,ca15d4808734c86801c8f3d80c9152c35a163dc3,2016-11-30T21:22:10Z,False,False
TRAINING,psf/requests,psf__requests-1963,110048f9837f8441ea536804115e80b69f400277,2014-03-15T17:42:11Z,False,False
TRAINING,psf/requests,psf__requests-1713,340b2459031feb421d678c3c75865c3b11c07938,2013-10-29T14:49:12Z,False,False
TRAINING,psf/requests,psf__requests-2466,461b740db6ae3d3ab1c5d975b657307f5c630fcb,2015-02-28T16:53:27Z,False,False
TRAINING,pydata/xarray,pydata__xarray-4510,7ce0110f727b37a776d509174365cf0905163234,2020-10-14T23:12:16Z,False,False
TRAINING,pydata/xarray,pydata__xarray-3637,6295bc6bca1559680544ea86051f35fa2d367fe1,2019-12-17T16:20:22Z,False,False
TRAINING,pydata/xarray,pydata__xarray-4684,0f1eb96c924bad60ea87edd9139325adabfefa33,2020-12-12T21:43:57Z,False,False
TRAINING,pydata/xarray,pydata__xarray-5580,4bb9d9c6df77137f05e85c7cc6508fe7a93dc0e4,2021-07-05T20:03:55Z,False,False
TRAINING,pydata/xarray,pydata__xarray-6386,073512ed3f997c0589af97eaf3d4b20796b18cf8,2022-03-20T17:06:13Z,False,False
TRAINING,pydata/xarray,pydata__xarray-5731,5db40465955a30acd601d0c3d7ceaebe34d28d11,2021-08-23T08:53:04Z,False,False
TRAINING,pydata/xarray,pydata__xarray-3364,863e49066ca4d61c9adfe62aca3bf21b90e1af8c,2019-10-01T21:15:54Z,False,False
TRAINING,pylint-dev/pylint,pylint-dev__pylint-8683,aed3c080388a8dc1d44c1a14a5ed243233f77c1c,2023-05-13T21:02:16Z,False,False
TRAINING,pylint-dev/pylint,pylint-dev__pylint-8799,b9ed113e31c9c938eb5dfb378e8c5b9dea2ff31b,2023-06-26T13:57:28Z,False,False
TRAINING,pylint-dev/pylint,pylint-dev__pylint-6506,0a4204fd7555cfedd43f43017c94d24ef48244a5,2022-05-05T13:01:41Z,False,False
TRAINING,pylint-dev/pylint,pylint-dev__pylint-4669,c2d03c6b3881a9df7353432b109523984adf06f9,2021-07-04T19:07:27Z,False,False
TRAINING,pylint-dev/pylint,pylint-dev__pylint-8929,f40e9ffd766bb434a0181dd9db3886115d2dfb2f,2023-08-05T16:56:45Z,False,False
TRAINING,pytest-dev/pytest,pytest-dev__pytest-7535,7ec6401ffabf79d52938ece5b8ff566a8b9c260e,2020-07-23T14:15:26Z,False,False
TRAINING,pytest-dev/pytest,pytest-dev__pytest-8641,634312b14a45db8d60d72016e01294284e3a18d4,2021-05-06T19:22:55Z,False,False
